No,book_links,book_ids,book_titles,book_authors,book_sub_categories,book_ratings,book_rated_times,book_public_dates,book_downloads,book_pages,book_desciptions,book_images
1,/drama/Yesterday-Starring-A-Woman-Named-California-Red,1552859835,"Yesterday, Starring A Woman Named California Red",Joseph Robinson,Drama,Rating: 0,0 times,Mar 2019,26,38,"A Drama and Dark Comedy in Two Acts. California Red has just been struck by the hideous news that her older brother, George, has just gunned down forty people at his place of work. He kills forty people and then himself. This story follows the life of California as she comes to terms with this...",/drama/Yesterday-Starring-A-Woman-Named-California-Red
2,/drama/Angels-Against-Virgins,1551705868,Angels Against Virgins,Bryan Murphy,Drama,Rating: 5,4 times,Mar 2019,165,34," A young man with a mission: to get himself killed, to subvert the established order in the name of the one true faith. What can come between him and the virgins he has been promised, if not the Angels in his heart? Dark humour lightens this tale of teenage longing taken to the extreme.",/drama/Angels-Against-Virgins
3,/drama/Cornucopia,1549568012,Cornucopia,John Francis Kinsella,Drama,Rating: 0,0 times,Feb 2019,322,444,"City banker Pat Kennedy and his friend Tom Barton continue their pursuit of wealth and happiness, each in his own way. Kennedy arrives in Canton, where an unexpected encounter changes his life. Barton in Colombia, where he discovers an entirely new world. The background is a rapidly changing...",/drama/Cornucopia
4,/drama/The-Ipat-Equation,1548245677,The Ipat Equation,Barti Cox,Drama,Rating: 0,0 times,Jan 2019,194,268,"This is a republishing of, The EADUN Directive, under a new name. A desperate struggle for power and survival across three continents in a rapidly changing world. Contains graphic accounts of heroism and brutality, and episodes of romantic and carnal intimacy. Please leave a comment, good or bad...",/drama/The-Ipat-Equation
5,/drama/Offshore-Islands,1547750322,Offshore Islands,John Francis Kinsella,Drama,Rating: 5,1 times,Jan 2019,460,380,Forces driven by market frenzy and the explosion of Internet technologies created phenomenal wealth in virtual money. At the same time inconceivably large sums of money were derived from crime and drugs with criminal organisations laundering their ill gotten gains via the world’s banking and...,/drama/Offshore-Islands
6,/drama/Dick-Slays-the-Dragons,1546544340,Dick Slays the Dragons,Dick Avery,Drama,Rating: 0,0 times,Jan 2019,192,172,"The cabal had operated in secrecy and with impunity until the death of a young, special agent of the Diplomatic Security Service. But his untimely and unseemly death now caused a tremendous uproar in Main State and powerful people were asking embarrassing questions of the bureaucrats responsible...",/drama/Dick-Slays-the-Dragons
7,/drama/Murder-By-Suicide,1545236027,Murder By Suicide,Bryan Murphy,Drama,Rating: 4.67,3 times,Dec 2018,331,22,"A gripping, illusion-free look at people we license to kill. A rare visitor to a hospice near Rome draws out macabre reminiscences from inmate Franco Tira, whose life changed when the day-to-day business of disposing of dissidents got personal. Who is the mysterious visitor, and what is his...",/drama/Murder-By-Suicide
8,/drama/The-Plan,1542720606,The Plan,John Francis Kinsella,Drama,Rating: 0,0 times,Nov 2018,361,330,"With the euphoria of the American elections past and the world struggling to come to grips with the financial panic, which seemed about to overwhelm it, Pat O’Connelly returns to Dublin. The contrast between the city's bleak landscape and the bright skies of Miami could not have been starker. As...",/drama/The-Plan
9,/drama/Barneys-Auctions,1541459931,Barneys Auctions,Uncle Jasper,Drama,Rating: 4,1 times,Nov 2018,279,103,"The colorful Barney battles everyone while running his auction room in post WWII Melbourne, Australia. He has no time for politicians, lawyers, rules or regulations of any kind, or suggestions that the wooden sheds he uses for his business are unsafe. The neighbouring market gardeners want...",/drama/Barneys-Auctions
10,/drama/A-Chinese-Western-Not-A-Chinaman-s-Chance-In-Chico-a-true-tale-of-the-Old-West,1541107010,A Chinese Western Not A Chinaman's Chance In Chico: a true tale of the Old West,David Edward Martin,Drama,Rating: 0,0 times,Nov 2018,275,238,"This is a fictionalized novel of an actual mass murder of 4 Chinese Immigrants that occurred in Chico, California in 1877. The story covers the murders, investigation of the crime and related crimes against Chinese Immigrants, the prosecution of the murderers and their subsequent pardons from...",/drama/A-Chinese-Western-Not-A-Chinaman-s-Chance-In-Chico-a-true-tale-of-the-Old-West
11,/drama/Borneo-Pulp,1540741927,Borneo Pulp,John Francis Kinsella,Drama,Rating: 0,0 times,Oct 2018,250,375,"John Ennis finds himself plunged into an exotic adventure in Indonesia as the destruction of its last rainforests accelerates when investors plan to build a vast industrial forestry complexe in the untouched heart of Borneo. The promoters, backed by international banks, compete for a share in the...",/drama/Borneo-Pulp
12,/drama/The-Collection,1539155700,The Collection,John Francis Kinsella,Drama,Rating: 5,1 times,Oct 2018,135,491,"A mysterious French nobleman arrives at Ekaterina Tuomonova's gallery in Chelsea, London. He is in search of an expert in early 20th century Post Impressionist art. Olivier de la Salle proposes John and Ekaterina visit his château in Provence, in the South of France, where he needs help in...",/drama/The-Collection
13,/drama/See-No-evil,1538920717,See No evil,Peter Thwaites,Drama,Rating: 0,0 times,Oct 2018,308,161,"The second in the 'Rick Shore Mysteries' series of crime stories. The first, 'Debits' introduced the main character, 'Rick Shore' as being alive and well and living in his much-loved bungalow in Worthing, West Sussex, on the South Coast of England. As well as enjoying the quiet solitude of his...",/drama/See-No-evil
14,/drama/Debits,1538920337,Debits,Peter Thwaites,Drama,Rating: 0,0 times,Oct 2018,314,256,"'Debits’ is the first in a series of mystery stories based on the diaries of Rick Shore. Rick is alive and well and lives in his much-loved bungalow in Worthing, West Sussex, on the South Coast of England. As well as enjoying the quiet solitude of his garden, Rick still enjoys the adventure of...",/drama/Debits
15,/drama/Desdemona,1538885236,Desdemona,Tag Cavello,Drama,Rating: 0,0 times,Oct 2018,225,193,"Dante Torn is a thirteen year-old boy living in Norwalk, Ohio. He is quiet and obedient. Respectful of his elders.But his life begins to change when he meets and falls in love with Sunset Desdemona, a red-headed firefox who goes to his school. Sunny is sly, devious, precocious. A girl with narrow...",/drama/Desdemona
16,/drama/The-Last-Ancestor,1536955889,The Last Ancestor,John Francis Kinsella,Drama,Rating: 0,0 times,Sep 2018,440,392,Scott Fitznorman is an international dealer in Asian and Tribal Art with his galleries in London and Paris. He and Kate Lundy set off for Borneo in search of valuable ethnic art and the heirlooms of the tribal peoples living in the longhouses in the mountainous regions of Sarawak. They make a...,/drama/The-Last-Ancestor
17,/drama/The-Young-Marvel,1534898162,The Young Marvel,Uncle Jasper,Drama,Rating: 4,2 times,Aug 2018,784,284,"Young English immigrant, Gabriel Fox, comes to the Marvellous Melbourne of the 1870s,  He and his business partner James Pryor, a born optimist, tread a narrow path between solvency and disaster.. .",/drama/The-Young-Marvel
18,/drama/Ghetto-Living,1531279414,Ghetto Living,RA Sebatian,Drama,Rating: 0,0 times,Jul 2018,308,67,Law and disorder and more in Milwaukee. ,/drama/Ghetto-Living
19,/drama/The-Last-Wild-West-Town-Whiz-Bang-City,1530224139,The Last Wild West Town - Whiz Bang City,Bill Russo,Drama,Rating: 0,0 times,Jun 2018,303,165,"Forty years after the smoke cleared from the shootout at the OK Corral, Whiz Bang City in Oklahoma still had daily gunfights, train robberies, and the  slickest gunfighter/lawman the West has ever seen. Based on real people and events this is the story of Sherriff Don Jose Alvarado and the last...",/drama/The-Last-Wild-West-Town-Whiz-Bang-City
20,/sci-fi-fantasy/Detective-In-Time,1528850052,Detective In Time,Uncle Jasper,Sci-fi Fantasy,Rating: 3.67,3 times,Jun 2018,1470,121,A fill-in detective is thrown through a hole in space to find a missing inventor and her beautiful daughter. ,/sci-fi-fantasy/Detective-In-Time
21,/drama/Lost-in-Lost-Cove,1528805779,Lost in Lost Cove,Mike Bozart,Drama,Rating: 4,1 times,Jun 2018,231,44,Three 20-something friends (two males and a female) decide to go for a spring hike in the Blue Ridge Mountains of North Carolina to check out some scenic waterfalls and get some 'clarity'. All is going just as planned until a dark creature is spotted on the trail. Will everyone be found alive and...,/drama/Lost-in-Lost-Cove
22,/sci-fi-fantasy/Derek-Vortimer-MBA-Manager-of-Worlds,1527553752,Derek Vortimer MBA  Manager of Worlds,Uncle Jasper,Sci-fi Fantasy,Rating: 4.33,6 times,May 2018,1563,230,"Newly minted MBA Derek Vortimer wanted a management job in a big company. What he got was a job managing an unruly medieval country, a host of fantastic creatures, battles to fight and keeping the peace between three strong willed women.",/sci-fi-fantasy/Derek-Vortimer-MBA-Manager-of-Worlds
23,/drama/Allusions-and-Illusions,1524871509,Allusions and Illusions,Colleen Kellogg,Drama,Rating: 4,1 times,Apr 2018,182,293,"Allusions and Illusions: A Collection of Plays, Short Fiction, Fragmented Memoirs, Poems and Songs is a compilation of plays that allude to other literature, plays, movies, and spiritual, philosophical, and scientific concepts, leaders, and figures. It also contains plays, short fiction...",/drama/Allusions-and-Illusions
24,/drama/The-Choice-Man,1521838414,The Choice Man,O. H. Reads,Drama,Rating: 4,1 times,Mar 2018,537,35,"What if there was a chance to go back and change one life-altering event in someone's life? What about in several lives? And what if all those seemingly unrelated choices really weren't? Meet ""Leonard,"" a man who is making an offer to just a few people to change a choice they made in their past...",/drama/The-Choice-Man
25,/drama/The-Doomsday-Dilemma,1520164370,The Doomsday Dilemma,David Dwan,Drama,Rating: 5,2 times,Mar 2018,973,324,"Security guard Peter Harper awakes in a strange room, covered in blood from a catastrophic head wound, with no recollection how he got there.  But he is not alone.  He is the ‘guest’ of the mysterious Doctor Logan.  A research scientist at the shadowy Government funded Ventrex labs where...",/drama/The-Doomsday-Dilemma
26,/drama/Battery-Acid-A-Fear-Of-The-Dutch-Razor,1518293081,Battery Acid: A Fear Of The Dutch Razor,John Cullen,Drama,Rating: 4,3 times,Feb 2018,195,164,"On the South-East coast of England, in the not to distant future, ‘The Rebirth Of A Nation’ is beginning. The once beautiful ‘Old Town’, is being slowly demolished to make way for WestPoint – A sprawling metropolis, that will be packed to the gills with luxury housing, a non-fragrant...",/drama/Battery-Acid-A-Fear-Of-The-Dutch-Razor
27,/drama/Zahraliza,1516663477,Zahraliza,Abdelouahid stitou,Drama,Rating: 5,1 times,Jan 2018,170,112,"« Zahraliza » is a translated work from arabic to english, writen by Moroccan novelist  Abdelouahid Stitou. This was the first Arabic interactive facebook novel, and it’s about a small hesitation on facebook which changes a life of a young man. It’s also about a painting called « Moroccan...",/drama/Zahraliza
28,/short-stories/Two-Stories-Aunt-Jane-The-Ranger,1513301734,"Two Stories Aunt Jane, The Ranger",Paul Audcent,Short Stories,Rating: 0,0 times,Dec 2017,235,21,"Two stories, one of discovery, and one of deep friendship.",/short-stories/Two-Stories-Aunt-Jane-The-Ranger
29,/drama/The-Race,1510941794,The Race,Mike Bozart,Drama,Rating: 5,1 times,Nov 2017,174,20,"A hard-driven, middle-aged, male boss concocts a unique competition for his staff that will take place at night, on bikes, on an abandoned railroad in Appalachia (USA). The motive behind this off-road cycling race is unclear to the five office employees, though the weather is on the fateful...",/drama/The-Race
30,/drama/Meta-Theater,1508361829,Meta-Theater,Khalil-Ghibran,Drama,Rating: 0,0 times,Oct 2017,60,58,"Join Khalil-Ghibran as he directs his first Theater, presented in 7 Acts.",/drama/Meta-Theater
31,/drama/Set-Sail-What-Are-You-Waiting-For-Klajo-Who-Rode-Against-The-Ocean,1504009605,Set Sail: What Are You Waiting For? Klajo Who Rode Against The Ocean,Abdullah H. AlFadhli,Drama,Rating: 3,2 times,Aug 2017,147,21,"What is ""Passion""? Why compare it with a higher value? Who contributes to us, if not us? I want to begin my book with a hideous, or as you may be inclined to think a delightful detail. Put it in whichever category as you see fit. As I express my thoughts to you, you may like them or disagree with...",/drama/Set-Sail-What-Are-You-Waiting-For-Klajo-Who-Rode-Against-The-Ocean
32,/drama/Desperate-Dealings,1501401544,Desperate Dealings,LimeyLady,Drama,Rating: 5,2 times,Jul 2017,698,39,"Huyton preys on street dealers. He's good at that and doesn’t expect to find any serious opposition when he arrives in West Yorkshire. Made on Merseyside and finished off in Manchester, he's a scary giant of a man. When he makes a demand even the really hard-cases usually wilt. And the ones that...",/drama/Desperate-Dealings
33,/drama/Laertes,1501154693,Laertes,Ben Caesar,Drama,Rating: 0,0 times,Jul 2017,150,456,A book to match and eclipse Ulysses by James Joyce! ,/drama/Laertes
34,/drama/Barlow,1498736574,Barlow,Warren Griffiths,Drama,Rating: 3,1 times,Jun 2017,556,72,"Barlow is not a place of hope. It is not a place where dreams are made or the wishes of children fulfilled. Here, reality is a miser who gives nothing in exchange for an endless struggle just to scratch out an existence. All too soon, the innocent faces of the young will become etched with...",/drama/Barlow
