category,sub_category,link
Fiction,Drama,https://www.free-ebooks.net/drama
Fiction,Erotica,https://www.free-ebooks.net/erotica
Fiction,Fiction,https://www.free-ebooks.net/fiction
Fiction,Flash Fiction,https://www.free-ebooks.net/flash-fiction
Fiction,Horror-Gothic,https://www.free-ebooks.net/horror-gothic
Fiction,Humor,https://www.free-ebooks.net/humor
Fiction,Mystery,https://www.free-ebooks.net/mystery
Fiction,Poetry,https://www.free-ebooks.net/poetry
Fiction,Romance,https://www.free-ebooks.net/romance
Fiction,Sci-fi Fantasy,https://www.free-ebooks.net/sci-fi-fantasy
Fiction,Short Stories,https://www.free-ebooks.net/short-stories
Fiction,Youth,https://www.free-ebooks.net/youth
Non Fiction,Advertising,https://www.free-ebooks.net/advertising
Non Fiction,Animals & Pets,https://www.free-ebooks.net/animals-pets
Non Fiction,Beauty & Fashion,https://www.free-ebooks.net/beauty-fashion
Non Fiction,Biography,https://www.free-ebooks.net/biography
Non Fiction,Body & Spirit,https://www.free-ebooks.net/body-spirit
Non Fiction,Business,https://www.free-ebooks.net/business
Non Fiction,Career,https://www.free-ebooks.net/career
Non Fiction,Computer & Internet,https://www.free-ebooks.net/computer-internet
Non Fiction,eBay,https://www.free-ebooks.net/ebay
Non Fiction,Economy,https://www.free-ebooks.net/economy
Non Fiction,Educational,https://www.free-ebooks.net/educational
Non Fiction,Fitness,https://www.free-ebooks.net/fitness
Non Fiction,Food/Recipes,https://www.free-ebooks.net/food-recipes
Non Fiction,Games,https://www.free-ebooks.net/games
Non Fiction,General Non Fiction,https://www.free-ebooks.net/general-non-fiction
Non Fiction,Health,https://www.free-ebooks.net/health
Non Fiction,History,https://www.free-ebooks.net/history
Non Fiction,Human Rights,https://www.free-ebooks.net/human-rights
Non Fiction,International,https://www.free-ebooks.net/international
Non Fiction,Marketing,https://www.free-ebooks.net/marketing
Non Fiction,Miscellaneous,https://www.free-ebooks.net/miscellaneous
Non Fiction,Network Marketing,https://www.free-ebooks.net/network-marketing
Non Fiction,Parenting/Children,https://www.free-ebooks.net/parenting-children
Non Fiction,Philosophy,https://www.free-ebooks.net/philosophy
Non Fiction,Politics,https://www.free-ebooks.net/politics
Non Fiction,Psychology,https://www.free-ebooks.net/psychology
Non Fiction,Recreation & Hobby,https://www.free-ebooks.net/recreation-hobby
Non Fiction,Reference,https://www.free-ebooks.net/reference
Non Fiction,Religious,https://www.free-ebooks.net/religious
Non Fiction,Science,https://www.free-ebooks.net/science
Non Fiction,Self-Improvement,https://www.free-ebooks.net/self-improvement
Non Fiction,Travel,https://www.free-ebooks.net/travel
Non Fiction,Tutorials,https://www.free-ebooks.net/tutorials
Non Fiction,Web Design,https://www.free-ebooks.net/web-design
Non Fiction,Writing & Publishing,https://www.free-ebooks.net/writing-publishing
Academic,Academic Articles,https://www.free-ebooks.net/academic-articles
Academic,Anthropology,https://www.free-ebooks.net/anthropology
Academic,Archives,https://www.free-ebooks.net/archives
Academic,Classic Literature,https://www.free-ebooks.net/classic-world-literature
Academic,Communications,https://www.free-ebooks.net/communications-academic
Academic,Economics,https://www.free-ebooks.net/academic-economics
Academic,Engineering,https://www.free-ebooks.net/engineering
Academic,Environment,https://www.free-ebooks.net/environmental-studies-academic
